"ACCURACY","F1_SCORE","PRECISION","RECALL","ML_FRAMEWORK","TRANSFER_LEARNING","DEEP_LEARNING","MODEL_TYPE","DEPTH","NUM_PARAMS","AVERAGEPOOLING2D_LAYERS","CONV2D_LAYERS","BATCHNORMALIZATION_LAYERS","DENSE_LAYERS","MAXPOOLING2D_LAYERS","INPUTLAYER_LAYERS","AVERAGE_LAYERS","ADD_LAYERS","GLOBALAVERAGEPOOLING2D_LAYERS","ZEROPADDING2D_LAYERS","DROPOUT_LAYERS","DEPTHWISECONV2D_LAYERS","FLATTEN_LAYERS","CONCATENATE_LAYERS","SIGMOID_ACT","SELU_ACT","RELU_ACT","SOFTMAX_ACT","LOSS","OPTIMIZER","MEMORY_SIZE","TEAM","USERNAME","TIMESTAMP","VERSION"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","19","9470243","null","12","null","1","5","null","null","null","null","null","null","null","1","null","null","null","12","1","str","Adam","37884808","null","miles_degrazia","2023-03-14 19:28:16.948050","416"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","arushisaranath","2023-03-14 23:45:50.982465","431"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","11","3470403","null","4","null","4","1","1","null","null","null","null","null","null","1","null","null","null","4","4","str","Adam","13883864","null","tzak","2023-03-14 19:33:17.960555","418"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","21","29451183","null","13","null","2","5","null","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","117809088","null","xilin0323","2023-03-14 21:47:03.269716","428"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","17","4933411","null","10","null","1","4","null","null","null","null","null","1","null","1","null","null","null","10","1","str","Adam","19736872","null","xilin0323","2023-03-14 18:41:46.990727","406"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249704","null","arushisaranath","2023-03-14 23:42:29.937487","430"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","16","3811619","null","10","null","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","15249704","null","arushisaranath","2023-03-13 19:59:36.247681","265"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Sequential","10","2767551","null","2","2","3","2","null","null","null","null","null","null","null","1","null","null","null","4","1","str","SGD","11072648","null","sairachawla","2023-03-14 17:27:25.870200","389"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","mymstella","2023-03-11 18:04:42.429394","164"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","22","15304643","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","61222920","null","mcmurrym","2023-03-14 05:24:13.601051","339"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","67122440","4","1jiahe","2023-03-14 05:22:17.731128","338"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","null","mymstella","2023-03-11 18:04:02.647010","163"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","10","999715","null","6","null","1","2","null","null","null","null","null","null","null","1","null","null","null","6","1","str","Adam","4000936","null","so2638","2023-03-08 04:14:29.808748","92"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","so2638","2023-03-08 04:15:27.667711","93"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","10","1064227","null","6","null","1","2","null","null","null","null","null","null","null","1","null","null","null","7","null","function","Adam","4258984","7","adrianwang","2023-03-08 20:03:04.506554","99"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","Adam","94416728","1","sm_5271","2023-03-14 04:10:23.325742","326"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","22","3809443","null","14","null","1","6","null","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","15242152","null","mcmurrym","2023-03-14 17:48:02.723365","398"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","9","18898977","null","3","null","2","3","null","null","null","null","null","null","null","1","null","null","null","4","null","str","Adam","75597408","7","lprockop","2023-03-08 23:37:10.442794","116"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","67122440","null","so2638","2023-03-14 01:57:29.232400","298"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","null","bonlilicheng","2023-03-13 06:42:08.723375","252"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","12","471635","null","6","2","1","2","null","null","null","null","null","null","null","1","null","null","null","6","1","str","Adam","1889576","null","so2638","2023-03-14 01:27:41.564167","294"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","128","23593859","null","53","53","1","1","1","null","16","1","2","null","null","null","null","null","null","49","1","str","Adam","94416728","null","sm_5271","2023-03-14 01:03:32.170044","288"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","67122440","null","nslerner","2023-03-10 19:51:06.475211","141"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Sequential","9","18898977","null","3","null","2","3","null","null","null","null","null","null","null","1","null","null","null","4","null","str","Adam","75597408","7","lprockop","2023-03-13 16:04:13.813352","259"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","true","true","Functional","131","23865459","null","53","53","4","1","1","null","16","1","2","null","null","null","null","null","null","52","1","str","SGD","95503848","null","ivster","2023-03-13 20:23:26.872019","267"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","arushisaranath","2023-03-13 20:02:09.126238","266"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","15","2285955","null","7","null","2","1","1","null","2","1","null","1","null","null","null","null","null","8","null","CategoricalCrossentropy","Adam","9146472","null","sdp2158","2023-03-11 04:04:18.252439","159"
"0.3330751356","0.1665698237","0.1110250452","0.3333333333","keras","null","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","null","mymstella","2023-03-11 18:22:22.504050","165"
